weight,AppName,Cores,DataSize,SchedulerDelay,MeanWaveTime,GCTime,TaskDeserializationTime,Stragglers,ExecutorRunTime,SDIncrease,MWTIncrease,GCIncrease,TDTIncrease,StragglerIncrease,ERTIncrease,Label,memUtil,commit,cpuUtil
1000,Mm,10,2,0.00398,1.17,0.00105,0.6,0.083,0.0868,1.944625407,2.233636364,0.67887931,1.125,0.933983496,0.991622239,1,0.97,0.27,0.93
1000,Mm,10,2,0,0.942,0.00146,0.6,0.083,0.0809,0,1.798363636,0.943965517,1.125,0.933983496,0.924219345,1,0.96,0.28,0.94
1000,Mm,10,1,0.0128,0.116,0.0016,0.6,0.6,0.11,6.254071661,0.221454546,1.034482759,1.125,6.751687922,1.256664128,1,0.77,0.21,0.93
1000,Mm,10,1,0,0.083,0.0016,0.6,0.6,0.0728,0,0.158454546,1.034482759,1.125,6.751687922,0.831683168,2,0.76,0.19,0.99
1000,Mm,10,1,0.0102,0.1,0.0016,0.6,0.6,0.07895,4.983713355,0.190909091,1.034482759,1.125,6.751687922,0.901942117,2,0.8,0.29,0.99
1000,Mm,10,1,0,0.1,0.00173,0.6,0.6,0.0788,0,0.190909091,1.118534483,1.125,6.751687922,0.900228484,2,0.69,0.16,0.99
1000,Mm,5,1,0.0134,0.216,0.0022,2,0.183,0.175,6.54723127,0.412363636,1.422413793,3.75,2.059264816,1.999238385,2,0.8,0.29,0.99
1000,Mm,5,1,0.0133,0.183,0.0028,2,0.133,0.141,6.498371336,0.349363636,1.810344828,3.75,1.496624156,1.610814928,2,0.84,0.31,0.99
1000,Mm,5,1,0.0128,0.366,0.005,8,0.2,0.197,6.254071661,0.698727273,3.232758621,15,2.250562641,2.250571211,1,0.77,0.21,0.93
1000,Mm,5,1,0.0118,0.2,0.0065,1,0.166,0.166,5.765472313,0.381818182,4.202586207,1.875,1.867966992,1.896420411,1,0.98,0.34,0.94
1000,Mm,5,1,0.107,2,0.239,1.5,0.3,0.294,52.28013029,3.818181818,154.5258621,2.8125,3.375843961,3.358720487,2,0.99,1.02,0.02
1000,Lr,5,1,0.00414,0.0809,0.002,0.013,0.166,0.0791,1.378468368,2.491055718,3.921568627,3,3,2.529850746,2,0.6,0.21,0.98
1000,Lr,5,1,0.004,0.0904,0.00213,0.012,0.166,0.088,1.331853496,2.783577713,4.176470588,2.769230769,3,2.814498934,2,0.59,0.2,0.98
